,numExp,stick1,stick2,judge,agentBias,nSticks,p_isLong_1,p_isLong_2,delta
331,165,0.8,0.0,J1,5.0,3.0,0.6354229328899349,0.25415077508888273,-0.38127215780105217
332,166,0.8,0.0,J0,5.0,4.0,0.7013574660633481,0.38269550748752074,-0.3186619585758274
333,166,0.8,0.0,J1,5.0,4.0,0.5788024821664572,0.30018441281200436,-0.2786180693544529
334,167,0.8,0.0,J0,5.0,5.0,0.6702265319159395,0.41069651741293506,-0.25953001450300445
335,167,0.8,0.0,J1,5.0,5.0,0.5584570172562893,0.3500233306306097,-0.20843368662567957
336,168,0.8,0.0,J0,10.0,3.0,0.7462235649546827,0.35000000000000003,-0.39622356495468264
337,168,0.8,0.0,J1,10.0,3.0,0.6297757955243567,0.21894667848531368,-0.410829117039043
338,169,0.8,0.0,J0,10.0,4.0,0.7013574660633481,0.38269550748752074,-0.3186619585758274
339,169,0.8,0.0,J1,10.0,4.0,0.5442369171110919,0.2388927881258804,-0.30534412898521146
340,170,0.8,0.0,J0,10.0,5.0,0.6702265319159395,0.41069651741293506,-0.25953001450300445
341,170,0.8,0.0,J1,10.0,5.0,0.5031583753350134,0.2706682901587745,-0.23249008517623887
342,171,0.8,0.1,J0,2.0,3.0,0.7462235649546827,0.45,-0.29622356495468266
343,171,0.8,0.1,J1,2.0,3.0,0.6675807614893962,0.4603129419972341,-0.20726781949216205
344,172,0.8,0.1,J0,2.0,4.0,0.7013574660633481,0.4625623960066555,-0.23879507005669265
345,172,0.8,0.1,J1,2.0,4.0,0.6389704908378837,0.49242742005627843,-0.14654307078160528
346,173,0.8,0.1,J0,2.0,5.0,0.6702265319159395,0.47388059701492535,-0.19634593490101415
347,173,0.8,0.1,J1,2.0,5.0,0.6266505978326146,0.5054807083243725,-0.12116988950824203
348,174,0.8,0.1,J0,5.0,3.0,0.7462235649546827,0.45,-0.29622356495468266
349,174,0.8,0.1,J1,5.0,3.0,0.6354229328899349,0.38652906182756286,-0.24889387106237204
350,175,0.8,0.1,J0,5.0,4.0,0.7013574660633481,0.4625623960066555,-0.23879507005669265
351,175,0.8,0.1,J1,5.0,4.0,0.5788024821664572,0.42872734062672674,-0.1500751415397305
352,176,0.8,0.1,J0,5.0,5.0,0.6702265319159395,0.47388059701492535,-0.19634593490101415
353,176,0.8,0.1,J1,5.0,5.0,0.5584570172562893,0.4608552198469992,-0.09760179740929009
354,177,0.8,0.1,J0,10.0,3.0,0.7462235649546827,0.45,-0.29622356495468266
355,177,0.8,0.1,J1,10.0,3.0,0.6297757955243567,0.36731732315073146,-0.26245847237362524
356,178,0.8,0.1,J0,10.0,4.0,0.7013574660633481,0.4625623960066555,-0.23879507005669265
357,178,0.8,0.1,J1,10.0,4.0,0.5442369171110919,0.3803655295166951,-0.1638713875943968
358,179,0.8,0.1,J0,10.0,5.0,0.6702265319159395,0.47388059701492535,-0.19634593490101415
359,179,0.8,0.1,J1,10.0,5.0,0.5031583753350134,0.404343760527062,-0.0988146148079514
360,180,0.8,0.2,J0,2.0,3.0,0.7462235649546827,0.5499999999999999,-0.19622356495468274
361,180,0.8,0.2,J1,2.0,3.0,0.6675807614893962,0.6060839485427303,-0.06149681294666587
362,181,0.8,0.2,J0,2.0,4.0,0.7013574660633481,0.5457570715474208,-0.15560039451592733
363,181,0.8,0.2,J1,2.0,4.0,0.6389704908378837,0.6058334926277134,-0.033136998210170354
364,182,0.8,0.2,J0,2.0,5.0,0.6702265319159395,0.533482587064677,-0.1367439448512625
365,182,0.8,0.2,J1,2.0,5.0,0.6266505978326146,0.5871917414500262,-0.03945885638258839
366,183,0.8,0.2,J0,5.0,3.0,0.7462235649546827,0.5499999999999999,-0.19622356495468274
367,183,0.8,0.2,J1,5.0,3.0,0.6354229328899349,0.5804934106970326,-0.05492952219290226
368,184,0.8,0.2,J0,5.0,4.0,0.7013574660633481,0.5457570715474208,-0.15560039451592733
369,184,0.8,0.2,J1,5.0,4.0,0.5788024821664572,0.5958027368883418,0.0170002547218846
370,185,0.8,0.2,J0,5.0,5.0,0.6702265319159395,0.533482587064677,-0.1367439448512625
371,185,0.8,0.2,J1,5.0,5.0,0.5584570172562893,0.586322572078183,0.02786555482189368
372,186,0.8,0.2,J0,10.0,3.0,0.7462235649546827,0.5499999999999999,-0.19622356495468274
373,186,0.8,0.2,J1,10.0,3.0,0.6297757955243567,0.5830914965262665,-0.046684298998090235
374,187,0.8,0.2,J0,10.0,4.0,0.7013574660633481,0.5457570715474208,-0.15560039451592733
375,187,0.8,0.2,J1,10.0,4.0,0.5442369171110919,0.5961309788563502,0.051894061745258346
376,188,0.8,0.2,J0,10.0,5.0,0.6702265319159395,0.533482587064677,-0.1367439448512625
377,188,0.8,0.2,J1,10.0,5.0,0.5031583753350134,0.5905219117692462,0.08736353643423278
378,189,0.8,0.3,J0,2.0,3.0,0.7462235649546827,0.6499999999999999,-0.09622356495468276
379,189,0.8,0.3,J1,2.0,3.0,0.6675807614893962,0.7547159636065823,0.08713520211718617
380,190,0.8,0.3,J0,2.0,4.0,0.7013574660633481,0.6173044925124791,-0.08405297355086905
