numExp,nSticks,stick1,stick2,p_isLong_1_L0,p_isLong_2_L0,p_isLong_1_L1,p_isLong_2_L1,isWEE,WEE
65,3,0.825,0.225,0.7543859649122806,0.5555555555555552,0.6541250733180602,0.6302322548431653,False,0.0
66,3,0.825,0.175,0.7543859649122806,0.49999999999999994,0.6541250733180602,0.494246492239364,False,0.0
67,3,0.825,0.125,0.7543859649122806,0.44444444444444425,0.6541250733180602,0.3831368505318247,False,0.0
68,3,0.825,0.075,0.7543859649122806,0.388888888888889,0.6541250733180602,0.291532639856399,False,0.0
69,3,0.825,0.025,0.7543859649122806,0.33333333333333354,0.6541250733180602,0.21624410481105372,False,-0.0
70,3,0.875,0.475,0.7894736842105261,0.8333333333333331,0.7266925746549022,0.999996245050234,False,0.0
71,3,0.875,0.425,0.7894736842105261,0.7777777777777775,0.7266925746549022,0.9998157669970208,True,0.2848190987748672
72,3,0.875,0.375,0.7894736842105261,0.7222222222222221,0.7266925746549022,0.9947382064127632,True,0.335297093746165
73,3,0.875,0.325,0.7894736842105261,0.6666666666666665,0.7266925746549022,0.9261727892473705,True,0.3222872321363278
74,3,0.875,0.275,0.7894736842105261,0.6666666666666665,0.7266925746549022,0.92618106660622,True,0.3222955094951774
75,3,0.875,0.225,0.7894736842105261,0.6111111111111113,0.7266925746549022,0.7461479181787884,True,0.19781791662330106
76,3,0.875,0.175,0.7894736842105261,0.5555555555555552,0.7266925746549022,0.6020650591786159,False,0.0
77,3,0.875,0.125,0.7894736842105261,0.49999999999999994,0.7266925746549022,0.4859797074089918,False,0.0
78,3,0.875,0.075,0.7894736842105261,0.44444444444444425,0.7266925746549022,0.3896692731085928,False,0.0
79,3,0.875,0.025,0.7894736842105261,0.388888888888889,0.7266925746549022,0.309011858925581,False,-0.0
80,3,0.925,0.475,0.8245614035087718,0.8888888888888886,0.7878751656385647,0.9999999455895564,False,0.0
81,3,0.925,0.425,0.8245614035087718,0.8333333333333331,0.7878751656385647,0.9999906289028654,False,0.0
82,3,0.925,0.375,0.8245614035087718,0.7777777777777775,0.7878751656385647,0.9994604903049562,True,0.25836895039738583
83,3,0.925,0.325,0.8245614035087718,0.7222222222222221,0.7878751656385647,0.9829022318056532,True,0.29736624745363816
84,3,0.925,0.275,0.8245614035087718,0.7222222222222221,0.7878751656385647,0.9829018568337092,True,0.2973658724816942
85,3,0.925,0.225,0.8245614035087718,0.6666666666666665,0.7878751656385647,0.8382792048066944,True,0.20829877601023494
86,3,0.925,0.175,0.8245614035087718,0.6111111111111113,0.7878751656385647,0.6948642224088928,False,0.0
87,3,0.925,0.125,0.8245614035087718,0.5555555555555552,0.7878751656385647,0.5770728047031447,False,0.0
88,3,0.925,0.075,0.8245614035087718,0.49999999999999994,0.7878751656385647,0.478228130075844,False,0.0
89,3,0.925,0.025,0.8245614035087718,0.44444444444444425,0.7878751656385647,0.3952614919838439,False,-0.0
90,3,0.975,0.475,0.8538011695906432,0.9444444444444446,0.8318293318090245,0.99999999996278,False,0.0
91,3,0.975,0.425,0.8538011695906432,0.8888888888888886,0.8318293318090245,0.9999998569124916,False,0.0
92,3,0.975,0.375,0.8538011695906432,0.8333333333333331,0.8318293318090245,0.9999711811752838,True,0.1886096856235694
93,3,0.975,0.325,0.8538011695906432,0.7777777777777775,0.8318293318090245,0.9979722162962134,True,0.2421662763000546
94,3,0.975,0.275,0.8538011695906432,0.7222222222222221,0.8318293318090245,0.9442722717830788,True,0.24402188734247543
95,3,0.975,0.225,0.8538011695906432,0.7222222222222221,0.8318293318090245,0.944273617779322,True,0.24402323333871856
96,3,0.975,0.175,0.8538011695906432,0.6666666666666665,0.8318293318090245,0.7837533659061295,False,0.0
97,3,0.975,0.125,0.8538011695906432,0.6111111111111113,0.8318293318090245,0.6582263348599334,False,0.0
98,3,0.975,0.075,0.8538011695906432,0.5555555555555552,0.8318293318090245,0.5557773554737144,False,0.0
99,3,0.975,0.025,0.8538011695906432,0.49999999999999994,0.8318293318090245,0.4706581946124208,False,-0.0
