numExp,agentBias,biasPrior,sampleMean,MAP_stick1_S1,MAP_stick2_S1,MAP_stick1_S2,MAP_stick2_S2,optProb_S1,optProb_S2,isOptMAP_S1,isOptMAP_S2
127,2.0,v,0.41500000000000004,0.875,0.775,0.875,0.775,0.29,0.28,True,True
128,5.0,flat,0.5650000000000001,0.925,0.975,0.975,0.925,0.27,0.4199999999999999,False,True
129,5.0,v,0.495,0.725,0.675,0.375,0.475,0.27,0.040000000000000015,True,False
130,10.0,flat,0.585,0.825,0.725,0.825,0.725,0.31,0.53,True,True
131,10.0,v,0.475,0.775,0.625,0.325,0.625,0.57,0.10000000000000002,True,False
132,2.0,flat,0.5549999999999999,0.925,0.975,0.925,0.975,0.14,0.15,False,False
133,2.0,v,0.635,0.725,0.875,0.875,0.775,0.11,0.15,False,True
134,5.0,flat,0.43499999999999994,0.925,0.675,0.925,0.675,0.55,0.44,True,True
135,5.0,v,0.495,0.975,0.525,0.975,0.525,0.36,0.31,True,True
136,10.0,flat,0.6649999999999999,0.975,0.825,0.975,0.825,0.35,0.48,True,True
137,10.0,v,0.625,0.875,0.825,0.875,0.825,0.51,0.4,True,True
138,2.0,flat,0.395,0.475,0.725,0.725,0.475,0.13,0.14,False,True
139,2.0,v,0.425,0.825,0.425,0.825,0.675,0.12,0.19,False,True
140,5.0,flat,0.645,0.975,0.875,0.975,0.875,0.23,0.33,True,True
141,5.0,v,0.425,0.675,0.625,0.325,0.625,0.25,0.020000000000000004,True,False
142,10.0,flat,0.335,0.625,0.425,0.425,0.625,0.51,0.029999999999999995,True,False
143,10.0,v,0.5850000000000001,0.975,0.775,0.975,0.775,0.48,0.81,True,True
144,2.0,flat,0.485,0.925,0.675,0.925,0.675,0.17,0.19,True,True
145,2.0,v,0.6849999999999999,0.925,0.875,0.925,0.775,0.14,0.020000000000000004,True,False
146,5.0,flat,0.5549999999999999,0.975,0.875,0.975,0.875,0.37,0.36,True,True
147,5.0,v,0.635,0.975,0.875,0.975,0.875,0.28,0.38,True,True
148,10.0,flat,0.41500000000000004,0.725,0.575,0.725,0.575,0.51,0.2,True,True
149,10.0,v,0.445,0.875,0.675,0.875,0.675,0.78,0.55,True,True
150,2.0,flat,0.525,0.975,0.575,0.975,0.325,0.21,0.07,True,False
151,2.0,v,0.30500000000000005,0.675,0.525,0.075,0.675,0.23,0.010000000000000005,True,False
152,5.0,flat,0.395,0.775,0.575,0.575,0.775,0.36,0.14,True,False
153,5.0,v,0.395,0.775,0.425,0.425,0.375,0.25,0.020000000000000004,True,False
154,10.0,flat,0.635,0.875,0.825,0.875,0.825,0.35,0.39,True,True
155,10.0,v,0.4050000000000001,0.825,0.525,0.425,0.525,0.63,0.11,True,False
156,2.0,flat,0.40499999999999997,0.975,0.575,0.975,0.575,0.17,0.14,True,True
157,2.0,v,0.375,0.775,0.375,0.325,0.775,0.2,0.029999999999999995,True,False
158,5.0,flat,0.575,0.975,0.775,0.975,0.775,0.24,0.29999999999999993,True,True
159,5.0,v,0.265,0.625,0.325,0.325,0.625,0.51,0.020000000000000004,True,False
160,10.0,flat,0.40499999999999997,0.625,0.575,0.375,0.625,0.51,0.029999999999999995,True,False
161,10.0,v,0.395,0.725,0.525,0.425,0.525,0.62,0.0,True,False
162,2.0,flat,0.465,0.525,0.875,0.875,0.625,0.15,0.12,False,True
163,2.0,v,0.525,0.975,0.825,0.975,0.825,0.14,0.21,True,True
164,5.0,flat,0.585,0.825,0.625,0.825,0.625,0.21,0.2,True,True
165,5.0,v,0.5349999999999999,0.975,0.475,0.975,0.675,0.21,0.4,False,True
166,10.0,flat,0.45499999999999996,0.975,0.875,0.975,0.875,0.67,0.76,True,True
167,10.0,v,0.595,0.975,0.775,0.975,0.775,0.57,0.74,True,True
168,2.0,flat,0.225,0.525,0.325,0.325,0.525,0.19,0.13,True,False
169,2.0,v,0.475,0.675,0.325,0.875,0.675,0.12,0.14,False,True
170,5.0,flat,0.5549999999999999,0.875,0.825,0.825,0.875,0.24,0.27,True,False
171,5.0,v,0.175,0.275,0.225,0.225,0.275,0.23,0.19,True,False
172,10.0,flat,0.745,0.975,0.925,0.975,0.925,0.24,0.44,True,True
173,10.0,v,0.555,0.825,0.775,0.825,0.775,0.26,0.59,True,True
174,2.0,flat,0.485,0.825,0.525,0.275,0.825,0.12,0.11,False,False
175,2.0,v,0.475,0.725,0.875,0.875,0.725,0.19,0.12,False,True
176,5.0,flat,0.595,0.875,0.925,0.925,0.875,0.24,0.3400000000000001,False,True
177,5.0,v,0.365,0.825,0.575,0.325,0.575,0.45,0.17,True,False
178,10.0,flat,0.475,0.875,0.625,0.875,0.625,0.65,0.68,True,True
179,10.0,v,0.36500000000000005,0.925,0.625,0.925,0.625,0.92,0.94,True,True
180,2.0,flat,0.495,0.675,0.925,0.925,0.675,0.15999999999999998,0.19,False,True
181,2.0,v,0.265,0.425,0.475,0.225,0.475,0.17999999999999994,0.09000000000000002,False,False
182,5.0,flat,0.525,0.725,0.675,0.675,0.725,0.2,0.11,True,False
183,5.0,v,0.675,0.925,0.825,0.925,0.825,0.15999999999999998,0.24,True,True
184,10.0,flat,0.325,0.475,0.425,0.325,0.475,0.51,0.15,True,False
