param,val,prob
J1agentBias,6.72297531451629,0.0004
J1agentBias,6.72934979668167,0.0001
J1agentBias,6.732313763640139,0.0001
J1agentBias,6.737039403512685,0.0001
J1agentBias,6.743344418287267,0.0001
J1agentBias,6.744075155532762,0.0001
J1agentBias,6.750940643505515,0.0002
J1agentBias,6.758360835173731,0.0002
J1agentBias,6.766334825217584,0.0001
J1agentBias,6.767482308089772,0.0001
J1agentBias,6.770798146770646,0.0001
J1agentBias,6.771232117141247,0.0001
J1agentBias,6.772431794582132,0.0001
J1agentBias,6.7734320615321035,0.0001
J1agentBias,6.7738065185034415,0.0001
J1agentBias,6.776961297410155,0.0002
J1agentBias,6.782229077180588,0.0002
J1agentBias,6.783812018366895,0.0001
J1agentBias,6.786009392713801,0.0001
J1agentBias,6.786613917746151,0.0001
J1agentBias,6.787445323687267,0.0001
J1agentBias,6.79215195708304,0.0001
J1agentBias,6.793653068063551,0.0001
J1agentBias,6.794187770728508,0.0002
J1agentBias,6.794512218500938,0.0001
J1agentBias,6.79652659732854,0.0001
J1agentBias,6.800270880671942,0.0002
J1agentBias,6.802985577688579,0.0001
J1agentBias,6.8035168161043735,0.0001
J1agentBias,6.8072682161731635,0.0001
J1agentBias,6.809677936748593,0.0002
J1agentBias,6.810682634546938,0.0001
J1agentBias,6.810712214617594,0.0002
J1agentBias,6.811725708907602,0.0002
J1agentBias,6.8119606460916735,0.0002
J1agentBias,6.812896622823447,0.0001
J1agentBias,6.814779410676788,0.0001
J1agentBias,6.815532906143773,0.0001
J1agentBias,6.821926996644866,0.0001
J1agentBias,6.8265013415696965,0.0002
J1agentBias,6.826678679382918,0.0001
J1agentBias,6.827615146968258,0.0001
J1agentBias,6.8302414651240415,0.0001
J1agentBias,6.832706375700675,0.0001
J1agentBias,6.835600999061897,0.0001
J1agentBias,6.8382362559275025,0.0001
J1agentBias,6.83851130028127,0.0001
J1agentBias,6.8395840189244135,0.0002
J1agentBias,6.842118737298227,0.0001
J1agentBias,6.844782816830469,0.0001
J1agentBias,6.846893542172199,0.0001
J1agentBias,6.849093496030031,0.0001
J1agentBias,6.851106634205865,0.0002
J1agentBias,6.8569473959934095,0.0002
J1agentBias,6.858209120249006,0.00030000000000000003
J1agentBias,6.862094989208256,0.0001
J1agentBias,6.8652238645472785,0.0001
J1agentBias,6.866110063545,0.0001
J1agentBias,6.8664790280312,0.0001
J1agentBias,6.866629412066887,0.0001
J1agentBias,6.868759328886389,0.0005
J1agentBias,6.86905723844606,0.0001
J1agentBias,6.869566903397491,0.0001
J1agentBias,6.8710558881813135,0.0001
J1agentBias,6.871109939668582,0.0001
J1agentBias,6.873997030328253,0.0001
J1agentBias,6.875816413388701,0.0001
J1agentBias,6.8759640290014605,0.0001
J1agentBias,6.876055160404138,0.0001
J1agentBias,6.876072417832146,0.0001
J1agentBias,6.880070943118129,0.0001
J1agentBias,6.8816434292669,0.0002
J1agentBias,6.887764690562813,0.0001
J1agentBias,6.888809686108293,0.0001
J1agentBias,6.893796439533423,0.0001
J1agentBias,6.893970954339624,0.0001
J1agentBias,6.895750368140917,0.0001
J1agentBias,6.896011258694839,0.0001
J1agentBias,6.8983109728687815,0.0002
J1agentBias,6.898804860030477,0.0001
J1agentBias,6.900430633855723,0.0002
J1agentBias,6.903262015028548,0.0004
J1agentBias,6.904553525919759,0.0001
J1agentBias,6.905421498614834,0.0001
J1agentBias,6.90837841342498,0.0001
J1agentBias,6.910238153554214,0.0001
J1agentBias,6.912503565740015,0.0001
J1agentBias,6.914292232097123,0.0002
J1agentBias,6.916086268428536,0.0001
J1agentBias,6.921579074444308,0.0002
J1agentBias,6.924153916805596,0.0002
